№ улучшения;"Что нужно изменить
по условию
задачи?";"Что 
ухудшается
при этом";Принцип
1;9;15;3
2;9;15;19
3;9;15;5
4;9;19;15
5;9;24;13
6;9;24;26
7;9;27;11
8;9;27;27
9;9;28;1
10;9;28;24
11;9;29;10
12;9;30;1
13;9;30;23
14;9;31;2
15;9;31;24
16;9;32;13
17;9;32;1
18;9;33;13
19;9;34;34
20;9;34;2
21;9;34;27
22;9;35;15
23;9;35;10
24;9;35;26
25;9;36;10
26;9;36;4
27;9;36;34
28;9;37;3
29;9;37;34
30;9;37;27
31;9;37;16
32;15;9;3
33;15;9;5
34;15;19;6
35;15;24;10
36;15;25;20
37;15;25;10
38;15;27;11
39;15;27;2
40;15;27;13
41;15;28;3
42;15;29;3
43;15;29;27
44;15;29;16
45;15;30;22
46;15;30;15
47;15;30;33
48;15;31;16
49;15;31;22
50;15;32;27
51;15;32;1
52;15;32;4
53;15;33;27
54;15;34;10
55;15;34;27
56;15;35;1
57;15;35;13
58;15;36;10
59;15;36;4
60;15;36;15
61;15;37;19
62;15;39;19
63;16;24;10
64;16;25;20
65;16;25;10
66;16;25;16
67;16;27;34
68;16;27;27
69;16;27;6
70;16;28;10
71;16;28;26
72;16;28;24
73;16;30;1
74;16;30;33
75;16;31;22
76;16;32;10
77;16;33;1
78;16;34;1
79;16;35;2
80;16;37;25
81;16;37;34
82;16;37;6
83;16;39;20
84;16;39;10
85;16;39;16
86;19;9;15
87;19;15;6
88;19;25;19
89;19;27;19
90;19;27;11
91;19;27;27
92;19;28;3
93;19;28;1
94;19;30;1
95;19;30;6
96;19;30;27
97;19;31;2
98;19;31;6
99;19;32;26
100;19;33;19
101;19;34;1
102;19;34;15
103;19;35;15
104;19;35;13
105;19;35;16
106;19;36;2
107;19;36;27
108;20;27;10
109;20;27;23
110;20;30;10
111;20;30;2
112;20;30;22
113;20;31;19
114;20;31;22
115;20;32;1
116;20;32;4
117;20;37;19
118;20;37;16
119;20;37;25
120;20;39;1
121;20;39;6
122;24;9;26
123;24;15;10
124;24;16;10
125;24;25;24
126;24;25;26
127;24;27;10
128;24;27;23
129;24;30;22
130;24;30;10
131;24;30;1
132;24;31;10
133;24;31;22
134;24;33;27
135;24;33;22
136;24;37;33
137;24;39;13
138;24;39;23
139;24;39;15
