"1";"Скорость";"Время действия подвижного объекта";"Местного качества"
"2";"Скорость";"Время действия подвижного объекта";"Периодического действия"
"3";"Скорость";"Время действия подвижного объекта";"Объединения"
"4";"Скорость";"Затраты энергии подвижным объектом";"Динамичности"
"5";"Скорость";"Потери информации";"Наоборот"
"6";"Скорость";"Потери информации";"Копирования"
"7";"Скорость";"Надёжность";"Заранее подложенной подушки"
"8";"Скорость";"Надёжность";"Дешевая недолговечность взамен дорогой долговечности"
"9";"Скорость";"Точность измерения";"Дробления"
"10";"Скорость";"Точность измерения";"Посредника"
"11";"Скорость";"Точность изготовления";"Предварительного действия"
"12";"Скорость";"Вредные факторы, действующие на объект";"Дробления"
"13";"Скорость";"Вредные факторы, действующие на объект";"Обратной связи"
"14";"Скорость";"Вредные факторы самого объекта";"Вынесения"
"15";"Скорость";"Вредные факторы самого объекта";"Посредника"
"16";"Скорость";"Удобство изготовления";"Наоборот"
"17";"Скорость";"Удобство изготовления";"Дробления"
"18";"Скорость";"Удобство эксплуатации";"Наоборот"
"19";"Скорость";"Удобство ремонта";"Отброса и регенерации частей"
"20";"Скорость";"Удобство ремонта";"Вынесения"
"21";"Скорость";"Удобство ремонта";"Дешевая недолговечность взамен дорогой долговечности"
"22";"Скорость";"Адаптация, универсальность";"Динамичности"
"23";"Скорость";"Адаптация, универсальность";"Предварительного действия"
"24";"Скорость";"Адаптация, универсальность";"Копирования"
"25";"Скорость";"Сложность устройства";"Предварительного действия"
"26";"Скорость";"Сложность устройства";"Асиметрия"
"27";"Скорость";"Сложность устройства";"Отброса и регенерации частей"
"28";"Скорость";"Сложность контроля и измерения";"Местного качества"
"29";"Скорость";"Сложность контроля и измерения";"Отброса и регенерации частей"
"30";"Скорость";"Сложность контроля и измерения";"Дешевая недолговечность взамен дорогой долговечности"
"31";"Скорость";"Сложность контроля и измерения";"Частичного или избыточного действия"
"32";"Время действия подвижного объекта";"Скорость";"Местного качества"
"33";"Время действия подвижного объекта";"Скорость";"Объединения"
